school,municipality,lon,lat,unique_id
Westervelts Corners Public School,Brampton,-79.7796544,43.7040385,Westervelts Corners Public SchoolBrampton
Eldorado Public School,Brampton,-79.7795325,43.6346526,Eldorado Public SchoolBrampton
Eldorado P.S. (Elementary),Brampton,-79.7795325,43.6346526,Eldorado P.S. (Elementary)Brampton
Glen Brae Middle School,Hamilton,-79.7792446,43.2277689,Glen Brae Middle SchoolHamilton
Glen Echo Junior Public School,Hamilton,-79.7787191,43.2244452,Glen Echo Junior Public SchoolHamilton
Saltfleet High School,Hamilton,-79.7785359,43.1841265,Saltfleet High SchoolHamilton
Beatty-Fleming Senior Public School,Brampton,-79.7785285,43.678802,Beatty-Fleming Senior Public SchoolBrampton
Lisgar Middle School,Mississauga,-79.7781186,43.5723253,Lisgar Middle SchoolMississauga
Our Lady of Fatima School,Brampton,-79.7779083,43.6883188,Our Lady of Fatima SchoolBrampton
Esker Lake Public School,Brampton,-79.7774106,43.7326378,Esker Lake Public SchoolBrampton
Hillcrest Elementary Public School,Hamilton,-79.7774,43.239368,Hillcrest Elementary Public SchoolHamilton
St. Therese of the Child Jesus School,Mississauga,-79.7772609,43.5796953,St. Therese of the Child Jesus SchoolMississauga
St Therese of the Child Jesus (Elementary) Separate School,Mississauga,-79.7772609,43.5796953,St Therese of the Child Jesus (Elementary) Separate SchoolMississauga
Gary Allan High School - STEP,Burlington,-79.7768266,43.3429927,Gary Allan High School - STEPBurlington
Glendale Public School,Brampton,-79.7766734,43.6875565,Glendale Public SchoolBrampton
St. Marguerite d'Youville Secondary School,Brampton,-79.7766089,43.7522331,St. Marguerite d'Youville Secondary SchoolBrampton
St Marguerite d'Youville Secondary School,Brampton,-79.7766089,43.7522331,St Marguerite d'Youville Secondary SchoolBrampton
Palermo Public School,Oakville,-79.7763581,43.4319291,Palermo Public SchoolOakville
Northwood Public School,Brampton,-79.7750925,43.6748891,Northwood Public SchoolBrampton
Carberry Public School,Brampton,-79.7744862,43.7566244,Carberry Public SchoolBrampton
Sir William Gage Middle School,Brampton,-79.7740978,43.6715906,Sir William Gage Middle SchoolBrampton
Tecumseth South Central Public School,New Tecumseth,-79.773981,44.0430456,Tecumseth South Central Public SchoolNew Tecumseth
École secondaire catholique Sainte-Trinité,Oakville,-79.7730672,43.4372286,École secondaire catholique Sainte-TrinitéOakville
Our Lady of Mount Carmel Secondary School,Mississauga,-79.7725827,43.5747917,Our Lady of Mount Carmel Secondary SchoolMississauga
St. Alphonsa Catholic Elementary School,Brampton,-79.7723567,43.635571,St. Alphonsa Catholic Elementary SchoolBrampton
École élémentaire Carrefour des Jeunes,Brampton,-79.7717848,43.7069428,École élémentaire Carrefour des JeunesBrampton
Tay Shores Public School,Tay Township,-79.7716589,44.7509209,Tay Shores Public SchoolTay Township
Tay Shores Public School,Tay,-79.7716589,44.7509209,Tay Shores Public SchoolTay
Plum Tree Park Public School,Mississauga,-79.7715069,43.5810469,Plum Tree Park Public SchoolMississauga
Lougheed Middle School,Brampton,-79.7714817,43.7567573,Lougheed Middle SchoolBrampton
St. Mary Catholic Elementary School,Oakville,-79.7712906,43.4239534,St. Mary Catholic Elementary SchoolOakville
John T Tuck Public School,Burlington,-79.7709151,43.3454976,John T Tuck Public SchoolBurlington
St Richard School,Mississauga,-79.7706325,43.5939671,St Richard SchoolMississauga
Sir Isaac Brock Junior Public School,Hamilton,-79.7705647,43.2248142,Sir Isaac Brock Junior Public SchoolHamilton
Harold M. Brathwaite Secondary School,Brampton,-79.7705254,43.7392762,Harold M. Brathwaite Secondary SchoolBrampton
Harold Brathwaite Secondary School,Brampton,-79.7705254,43.7392762,Harold Brathwaite Secondary SchoolBrampton
St Simon Stock Elementary School,Mississauga,-79.7700348,43.5653071,St Simon Stock Elementary SchoolMississauga
St. Simon Stock Elementary School,Mississauga,-79.7697779,43.5654871,St. Simon Stock Elementary SchoolMississauga
St. Isaac Jogues Elementary School,Brampton,-79.7693062,43.7360391,St. Isaac Jogues Elementary SchoolBrampton
St Isaac Jogues Elementary School,Brampton,-79.7693062,43.7360391,St Isaac Jogues Elementary SchoolBrampton
Trelawny Public School,Mississauga,-79.768863,43.5716408,Trelawny Public SchoolMississauga
Great Lakes Public School,Brampton,-79.7684966,43.7365852,Great Lakes Public SchoolBrampton
Venerable Michael McGivney Catholic Elementary School,Brampton,-79.7683242,43.7526864,Venerable Michael McGivney Catholic Elementary SchoolBrampton
St John of the Cross School,Mississauga,-79.768314,43.5791559,St John of the Cross SchoolMississauga
St. David Catholic Elementary School,Hamilton,-79.7679177,43.2249046,St. David Catholic Elementary SchoolHamilton
Louise Arbour Secondary School,Brampton,-79.7675382,43.7593116,Louise Arbour Secondary SchoolBrampton
St. Raphael Catholic Elementary School,Burlington,-79.7672143,43.3542072,St. Raphael Catholic Elementary SchoolBurlington
St. Joachim Separate School,Brampton,-79.767037,43.713309,St. Joachim Separate SchoolBrampton
St Joachim Separate School,Brampton,-79.767037,43.713309,St Joachim Separate SchoolBrampton
Arnott Charlton Public School,Brampton,-79.7668855,43.7145383,Arnott Charlton Public SchoolBrampton
Springdale Public School,Brampton,-79.7667115,43.7535042,Springdale Public SchoolBrampton
Kingswood Drive Public School,Brampton,-79.765954,43.7024507,Kingswood Drive Public SchoolBrampton
Sir John A. Macdonald Senior Public School,Brampton,-79.7658418,43.6994873,Sir John A. Macdonald Senior Public SchoolBrampton
Nelson Secondary School,Burlington,-79.7655134,43.3582848,Nelson Secondary SchoolBurlington
Nelson High School,Burlington,-79.7655134,43.3582848,Nelson High SchoolBurlington
St. Augustine Secondary School,Brampton,-79.7650458,43.658388,St. Augustine Secondary SchoolBrampton
St Augustine Secondary School,Brampton,-79.7650458,43.658388,St Augustine Secondary SchoolBrampton
Emily Carr Public School,Oakville,-79.7636494,43.442462,Emily Carr Public SchoolOakville
St. Anne Elementary School,Brampton,-79.763441,43.699578,St. Anne Elementary SchoolBrampton
St Anne Separate School,Brampton,-79.763441,43.699578,St Anne Separate SchoolBrampton
Osprey Woods Public School,Mississauga,-79.7634091,43.5621466,Osprey Woods Public SchoolMississauga
Shelter Bay Public School,Mississauga,-79.7629474,43.5869874,Shelter Bay Public SchoolMississauga
Copeland Public School,Brampton,-79.7623748,43.6501929,Copeland Public SchoolBrampton
St. Antoine Daniel Catholic School,Tay Township,-79.762134,44.7460203,St. Antoine Daniel Catholic SchoolTay Township
Meadowvale Secondary School,Mississauga,-79.7613864,43.5779349,Meadowvale Secondary SchoolMississauga
Board Site,Springwater,-79.7606083,44.4482656,Board SiteSpringwater
Hewson Public School,Brampton,-79.7603071,43.7663383,Hewson Public SchoolBrampton
Our Lady of Providence Elementary School,Brampton,-79.7600472,43.7442623,Our Lady of Providence Elementary SchoolBrampton
St Brigid School,Brampton,-79.759646,43.658511,St Brigid SchoolBrampton
Captain R. Wilson Public School,Oakville,-79.759276,43.4291255,Captain R. Wilson Public SchoolOakville
R L Hyslop Elementary School,Hamilton,-79.7591949,43.2153978,R L Hyslop Elementary SchoolHamilton
McHugh Public School,Brampton,-79.759145,43.6797007,McHugh Public SchoolBrampton
Board Site,Brampton,-79.7591044,43.686819,Board SiteBrampton
St. Edith Stein Elementary School,Mississauga,-79.758912,43.5665698,St. Edith Stein Elementary SchoolMississauga
St. Nicholas Elementary School,Caledon,-79.758861,43.8712445,St. Nicholas Elementary SchoolCaledon
École secondaire Jeunes sans frontières,Brampton,-79.7584492,43.6241261,École secondaire Jeunes sans frontièresBrampton
École élémentaire Jeunes sans frontières,Brampton,-79.7584492,43.6241261,École élémentaire Jeunes sans frontièresBrampton
Stanley Mills Public School,Brampton,-79.7584364,43.7606774,Stanley Mills Public SchoolBrampton
St. John Paul II Catholic Elementary School,Oakville,-79.7580166,43.4424044,St. John Paul II Catholic Elementary SchoolOakville
Fernforest Public School,Brampton,-79.7577744,43.7464616,Fernforest Public SchoolBrampton
Agnes Taylor Public School,Brampton,-79.757672,43.697666,Agnes Taylor Public SchoolBrampton
St. Charles Adult and Continuing Education,Hamilton,-79.7564562,43.2336556,St. Charles Adult and Continuing EducationHamilton
Ridgeview Public School,Brampton,-79.7560981,43.6725905,Ridgeview Public SchoolBrampton
Sunny View Middle School,Brampton,-79.7558357,43.7617149,Sunny View Middle SchoolBrampton
Miller's Grove School,Mississauga,-79.7555335,43.5726644,Miller's Grove SchoolMississauga
Lake Avenue Elementary School,Hamilton,-79.7554956,43.2322843,Lake Avenue Elementary SchoolHamilton
Lake Avenue Public School,Hamilton,-79.7554956,43.2322843,Lake Avenue Public SchoolHamilton
Roberta Bondar Public School,Brampton,-79.7553292,43.6407192,Roberta Bondar Public SchoolBrampton
Gordon Graydon Senior Public School,Brampton,-79.7549444,43.7076816,Gordon Graydon Senior Public SchoolBrampton
Garth Webb Secondary School,Oakville,-79.7545327,43.4343563,Garth Webb Secondary SchoolOakville
St. Marguerite Bourgeoys Separate School,Brampton,-79.7539194,43.7275952,St. Marguerite Bourgeoys Separate SchoolBrampton
St Marguerite Bourgeoys Separate School,Brampton,-79.7539194,43.7275952,St Marguerite Bourgeoys Separate SchoolBrampton
St Mary Elementary School,Brampton,-79.7531976,43.6838259,St Mary Elementary SchoolBrampton
Forest Trail Public School,Oakville,-79.7531779,43.4509385,Forest Trail Public SchoolOakville
Forest Trail Public School (Elementary),Oakville,-79.7531779,43.4509385,Forest Trail Public School (Elementary)Oakville
Frontenac Public School,Burlington,-79.752903,43.37409,Frontenac Public SchoolBurlington
St. Michael Catholic Secondary School,Caledon,-79.7517823,43.8952732,St. Michael Catholic Secondary SchoolCaledon
St Teresa of Avila Separate School,Mississauga,-79.7517528,43.591262,St Teresa of Avila Separate SchoolMississauga
Shaw Public School,Brampton,-79.7513498,43.7751614,Shaw Public SchoolBrampton
Central Peel Secondary School,Brampton,-79.7512863,43.6982204,Central Peel Secondary SchoolBrampton
Cardinal Leger Secondary School,Brampton,-79.7511893,43.6840635,Cardinal Leger Secondary SchoolBrampton
Russell D Barber Public School,Brampton,-79.751063,43.7234931,Russell D Barber Public SchoolBrampton
Settler's Green Public School,Mississauga,-79.7508503,43.5782434,Settler's Green Public SchoolMississauga
Morton Way Public School,Brampton,-79.750683,43.6562977,Morton Way Public SchoolBrampton
St Faustina Elementary School,Mississauga,-79.7505202,43.5568604,St Faustina Elementary SchoolMississauga
ÉÉC Ange-Gabriel,Mississauga,-79.7494509,43.6143751,ÉÉC Ange-GabrielMississauga
Larkspur Public School,Brampton,-79.7492743,43.7544782,Larkspur Public SchoolBrampton
Madoc Drive Public School,Brampton,-79.7492552,43.7034172,Madoc Drive Public SchoolBrampton
Centennial Senior Public School,Brampton,-79.7491857,43.6725826,Centennial Senior Public SchoolBrampton
Sir Winston Churchill Public School,Brampton,-79.7486473,43.6890854,Sir Winston Churchill Public SchoolBrampton
Mount Royal Public School,Brampton,-79.7485186,43.7901986,Mount Royal Public SchoolBrampton
North Park Secondary School,Brampton,-79.748488,43.7204531,North Park Secondary SchoolBrampton
Brampton Centennial Secondary School,Brampton,-79.7482233,43.6667891,Brampton Centennial Secondary SchoolBrampton
Ascension Catholic Elementary School,Burlington,-79.7479839,43.3730537,Ascension Catholic Elementary SchoolBurlington
Plowman's Park Public School,Mississauga,-79.7478051,43.5817892,Plowman's Park Public SchoolMississauga
Our Lady of Lourdes Catholic Elementary School,Brampton,-79.7476109,43.7915873,Our Lady of Lourdes Catholic Elementary SchoolBrampton
Levi Creek Public School,Mississauga,-79.7475899,43.6232074,Levi Creek Public SchoolMississauga
Harold F. Loughin Public School,Brampton,-79.7475726,43.708603,Harold F. Loughin Public SchoolBrampton
Harold F Loughin Public School,Brampton,-79.7475726,43.708603,Harold F Loughin Public SchoolBrampton
Churchill Meadows Public School,Mississauga,-79.7475113,43.559296,Churchill Meadows Public SchoolMississauga
Massey Street Public School,Brampton,-79.7471891,43.7378734,Massey Street Public SchoolBrampton
Father C W Sullivan Catholic School,Brampton,-79.747064,43.70617,Father C W Sullivan Catholic SchoolBrampton
West Credit Secondary School,Mississauga,-79.7466982,43.5858874,West Credit Secondary SchoolMississauga
ÉSC Sainte-Famille,Mississauga,-79.7466583,43.614067,ÉSC Sainte-FamilleMississauga
Pineland Public School,Burlington,-79.7466477,43.3677377,Pineland Public SchoolBurlington
Good Shepherd Catholic Elementary School,Brampton,-79.746645,43.7562739,Good Shepherd Catholic Elementary SchoolBrampton
Bishop Francis Allen Catholic School,Brampton,-79.746641,43.666423,Bishop Francis Allen Catholic SchoolBrampton
École Secondaire catholique Sainte-Famille,Toronto,-79.7466107,43.6145052,École Secondaire catholique Sainte-FamilleToronto
École Secondaire catholique Sainte-Famille,Mississauga,-79.7466107,43.6145052,École Secondaire catholique Sainte-FamilleMississauga
ÉIC Sainte-Famille,Mississauga,-79.7466107,43.6145052,ÉIC Sainte-FamilleMississauga
St. Joan of Arc Catholic Secondary School,Mississauga,-79.7465882,43.553215,St. Joan of Arc Catholic Secondary SchoolMississauga
St. Martin of Tours Catholic Elementary School,Hamilton,-79.746296,43.2161789,St. Martin of Tours Catholic Elementary SchoolHamilton
St. Barbara Elementary School,Mississauga,-79.746117,43.624093,St. Barbara Elementary SchoolMississauga
St. Agnes Catholic Elementary School,Hamilton,-79.745858,43.229771,St. Agnes Catholic Elementary SchoolHamilton
St. John Henry Newman Catholic Secondary School,Hamilton,-79.745483,43.2220532,St. John Henry Newman Catholic Secondary SchoolHamilton
Ray Lawson Public School,Brampton,-79.7452773,43.6423315,Ray Lawson Public SchoolBrampton
Mountain Ash Public School,Brampton,-79.7444627,43.7720381,Mountain Ash Public SchoolBrampton
Mountain Ash (Elementary),Brampton,-79.7444627,43.7720381,Mountain Ash (Elementary)Brampton
Sandalwood Heights Secondary School,Brampton,-79.7443069,43.7658453,Sandalwood Heights Secondary SchoolBrampton
Oodeenawi Public School,Oakville,-79.7439392,43.4715626,Oodeenawi Public SchoolOakville
Oodenawi Public School,Oakville,-79.7439392,43.4715626,Oodenawi Public SchoolOakville
Stephen Lewis Secondary School,Mississauga,-79.7433641,43.5571003,Stephen Lewis Secondary SchoolMississauga
Hickory Wood Public School,Brampton,-79.7428882,43.646312,Hickory Wood Public SchoolBrampton
St Anthony School,Brampton,-79.742484,43.7361711,St Anthony SchoolBrampton
Eagle Plains Public School,Brampton,-79.7423959,43.7732387,Eagle Plains Public SchoolBrampton
Heritage Glen Public School,Oakville,-79.7418342,43.4320677,Heritage Glen Public SchoolOakville
Helen Wilson Public School,Brampton,-79.7415879,43.6811981,Helen Wilson Public SchoolBrampton
Ruth Thompson Middle School,Mississauga,-79.7413659,43.5512673,Ruth Thompson Middle SchoolMississauga
James Bolton Public School,Caledon,-79.741129,43.8866892,James Bolton Public SchoolCaledon
St Elizabeth Seton School,Mississauga,-79.7409926,43.5777058,St Elizabeth Seton SchoolMississauga
The Good Shepherd Catholic School,Barrie,-79.7400384,44.3912708,The Good Shepherd Catholic SchoolBarrie
Mohawk Gardens Public School,Burlington,-79.7399221,43.3707433,Mohawk Gardens Public SchoolBurlington
St. Francis Xavier Elementary School,Brampton,-79.73859,43.674844,St. Francis Xavier Elementary SchoolBrampton
St Francis Xavier Elementary School,Brampton,-79.73859,43.674844,St Francis Xavier Elementary SchoolBrampton
St. Bernadette Catholic Elementary School,Oakville,-79.7377681,43.4291106,St. Bernadette Catholic Elementary SchoolOakville
St. Patrick Catholic Elementary School,Burlington,-79.7373074,43.3698151,St. Patrick Catholic Elementary SchoolBurlington
��C Sainte-Jeanne-d'Arc,Brampton,-79.7368575,43.7107627,��C Sainte-Jeanne-d'ArcBrampton
ÉÉC Sainte-Jeanne-d'Arc,Brampton,-79.7368575,43.7107627,ÉÉC Sainte-Jeanne-d'ArcBrampton
Humberview Secondary School,Caledon,-79.73659,43.8879863,Humberview Secondary SchoolCaledon
Ray Lawson,Brampton,-79.7365715,43.6508545,Ray LawsonBrampton
Our Lady of Peace Catholic Elementary School,Oakville,-79.7362526,43.4661392,Our Lady of Peace Catholic Elementary SchoolOakville
West Oak Public School,Oakville,-79.7359827,43.4484612,West Oak Public SchoolOakville
Abbey Park High School,Oakville,-79.7359433,43.4361873,Abbey Park High SchoolOakville
St. Teresa of Calcutta Catholic Elementary School,Oakville,-79.7355009,43.4508873,St. Teresa of Calcutta Catholic Elementary SchoolOakville
St. Gregory the Great Catholic Elementary School,Oakville,-79.7354543,43.4773512,St. Gregory the Great Catholic Elementary SchoolOakville
Robert J. Lee Public School,Brampton,-79.7351682,43.763939,Robert J. Lee Public SchoolBrampton
Robert J. Lee Public School,Mississauga,-79.7351682,43.763939,Robert J. Lee Public SchoolMississauga
Robert J Lee Public School,Mississauga,-79.7351682,43.763939,Robert J Lee Public SchoolMississauga
Robert J Lee Public School,Brampton,-79.7351682,43.763939,Robert J Lee Public SchoolBrampton
St. Bernard of Clairvaux Catholic Elementary School,Mississauga,-79.7351256,43.5475604,St. Bernard of Clairvaux Catholic Elementary SchoolMississauga
Pauline Vanier Catholic Elementary School,Brampton,-79.734501,43.64669,Pauline Vanier Catholic Elementary SchoolBrampton
Eastdale Public School,Hamilton,-79.7342637,43.227356,Eastdale Public SchoolHamilton
McKinnon Public School,Mississauga,-79.7341555,43.5510167,McKinnon Public SchoolMississauga
Bear Creek Secondary School,Barrie,-79.7337015,44.3315669,Bear Creek Secondary SchoolBarrie
St. Ignatius of Loyola Catholic Secondary School,Oakville,-79.7335124,43.4445535,St. Ignatius of Loyola Catholic Secondary SchoolOakville
Treeline Public School,Brampton,-79.7332077,43.7783749,Treeline Public SchoolBrampton
Williams Parkway Senior Public School,Brampton,-79.7331055,43.7307281,Williams Parkway Senior Public SchoolBrampton
Tapleytown Public School,Hamilton,-79.7330207,43.1810331,Tapleytown Public SchoolHamilton
St Joan of Arc High School,Barrie,-79.7330081,44.3491459,St Joan of Arc High SchoolBarrie
Castlebridge Public School,Mississauga,-79.7326253,43.5681165,Castlebridge Public SchoolMississauga
William G. Davis Senior Public School,Brampton,-79.7324676,43.6709443,William G. Davis Senior Public SchoolBrampton
St. Francis Xavier Catholic Elementary School,Hamilton,-79.7321668,43.2200665,St. Francis Xavier Catholic Elementary SchoolHamilton
Peel Alternative School North ISR,Brampton,-79.7320304,43.6794064,Peel Alternative School North ISRBrampton
Peel Alternative North ISR,Brampton,-79.7320304,43.6794064,Peel Alternative North ISRBrampton
Emma King Elementary School,Barrie,-79.731915,44.3962182,Emma King Elementary SchoolBarrie
St. Kevin Separate School,Brampton,-79.7318507,43.6607881,St. Kevin Separate SchoolBrampton
Father Clair Tipping School,Brampton,-79.7317292,43.7648548,Father Clair Tipping SchoolBrampton
William Parkway Public School,Brampton,-79.731195,43.7325656,William Parkway Public SchoolBrampton
Judith Nyman Secondary School,Brampton,-79.731195,43.7325656,Judith Nyman Secondary SchoolBrampton
Fletcher's Creek Senior Public School,Brampton,-79.7304039,43.6584014,Fletcher's Creek Senior Public SchoolBrampton
Holy Spirit Catholic Elementary School,Brampton,-79.7299217,43.784183,Holy Spirit Catholic Elementary SchoolBrampton
W. C. Little Elementary School,Barrie,-79.7295708,44.3289205,W. C. Little Elementary SchoolBarrie
Ellwood Memorial Public School,Caledon,-79.7293185,43.8752454,Ellwood Memorial Public SchoolCaledon
Lester B. Pearson Catholic School,Brampton,-79.7291431,43.7230616,Lester B. Pearson Catholic SchoolBrampton
Lester B Pearson Catholic School,Brampton,-79.7291431,43.7230616,Lester B Pearson Catholic SchoolBrampton
St Nicholas School,Barrie,-79.7291377,44.3225999,St Nicholas SchoolBarrie
Hanover Public School,Brampton,-79.7289703,43.7188962,Hanover Public SchoolBrampton
Pilgrim Wood Public School,Oakville,-79.7288579,43.4346449,Pilgrim Wood Public SchoolOakville
Hilldale Public School,Brampton,-79.7282832,43.7292249,Hilldale Public SchoolBrampton
Chinguacousy Secondary School,Brampton,-79.7279676,43.7367198,Chinguacousy Secondary SchoolBrampton
Erin Centre Middle School,Mississauga,-79.7277112,43.5468177,Erin Centre Middle SchoolMississauga
Ardagh Bluffs Public School,Barrie,-79.7274763,44.3547652,Ardagh Bluffs Public SchoolBarrie
Sir Wilfred Laurier Public School,Brampton,-79.7271563,43.677287,Sir Wilfred Laurier Public SchoolBrampton
Sir Wilfrid Laurier Public School,Brampton,-79.7271563,43.677287,Sir Wilfrid Laurier Public SchoolBrampton
Oscar Peterson Public School,Mississauga,-79.7270899,43.5450535,Oscar Peterson Public SchoolMississauga
St Patrick School,Brampton,-79.7270736,43.8176612,St Patrick SchoolBrampton
Andrew Hunter Elementary School,Barrie,-79.7267681,44.3909471,Andrew Hunter Elementary SchoolBarrie
Holy Family School,Caledon,-79.7262419,43.8736449,Holy Family SchoolCaledon
Thomas Street Middle School,Mississauga,-79.7257273,43.5668011,Thomas Street Middle SchoolMississauga
Vista Heights Public School,Mississauga,-79.7256076,43.5748007,Vista Heights Public SchoolMississauga
Fairlawn Public School,Brampton,-79.7255218,43.7681065,Fairlawn Public SchoolBrampton
Fairlawn Elementary Public School,Brampton,-79.7255218,43.7681065,Fairlawn Elementary Public SchoolBrampton
North Field Office,Brampton,-79.7255075,43.6969078,North Field OfficeBrampton
Meadowvale Village Public School,Mississauga,-79.7249385,43.6273218,Meadowvale Village Public SchoolMississauga
Cherrytree Public School,Brampton,-79.7248307,43.6540895,Cherrytree Public SchoolBrampton
St. Jean Brebeuf Elementary School,Brampton,-79.724694,43.73426,St. Jean Brebeuf Elementary SchoolBrampton
Holy Trinity Catholic Secondary School,Oakville,-79.7241118,43.4723923,Holy Trinity Catholic Secondary SchoolOakville
St. Catherine of Siena Catholic School,Barrie,-79.7237813,44.3566361,St. Catherine of Siena Catholic SchoolBarrie
St Catherine of Siena School,Barrie,-79.7237813,44.3566361,St Catherine of Siena SchoolBarrie
St Julia Catholic Elementary School,Mississauga,-79.7236963,43.6203559,St Julia Catholic Elementary SchoolMississauga
Derry West Village Public School,Mississauga,-79.7235724,43.6405639,Derry West Village Public SchoolMississauga
David Leeder Middle School,Mississauga,-79.7230046,43.62733,David Leeder Middle SchoolMississauga
St. Sebastian Catholic Elementary School,Mississauga,-79.722615,43.540957,St. Sebastian Catholic Elementary SchoolMississauga
St Sebastian Catholic Elementary School,Mississauga,-79.722615,43.540957,St Sebastian Catholic Elementary SchoolMississauga
Ray Underhill Public School,Mississauga,-79.7223379,43.5936088,Ray Underhill Public SchoolMississauga
Middlebury Public School,Mississauga,-79.7220966,43.5654549,Middlebury Public SchoolMississauga
Dolphin Senior Public School,Mississauga,-79.7220789,43.5852457,Dolphin Senior Public SchoolMississauga
River Oaks Public School,Oakville,-79.7216712,43.4649869,River Oaks Public SchoolOakville
St. Bernadette Catholic School,Barrie,-79.7214083,44.332426,St. Bernadette Catholic SchoolBarrie
St Bernadette Elementary School,Barrie,-79.7214083,44.332426,St Bernadette Elementary SchoolBarrie
Goldcrest Public School,Brampton,-79.7206972,43.7299977,Goldcrest Public SchoolBrampton
West Bayfield Elementary School,Barrie,-79.7206499,44.4073338,West Bayfield Elementary SchoolBarrie
Allan Drive Middle School,Caledon,-79.7202617,43.8776622,Allan Drive Middle SchoolCaledon
St Marys - Barrie Separate School,Barrie,-79.7195693,44.3862631,St Marys - Barrie Separate SchoolBarrie
Streetsville Secondary School,Mississauga,-79.7195284,43.5796875,Streetsville Secondary SchoolMississauga
St. Dominic Catholic Elementary School,Oakville,-79.719449,43.4007583,St. Dominic Catholic Elementary SchoolOakville
St. Andrew Catholic Elementary School,Oakville,-79.7193923,43.4752063,St. Andrew Catholic Elementary SchoolOakville
Artesian Drive Public School,Mississauga,-79.7191294,43.5431199,Artesian Drive Public SchoolMississauga
Turner Fenton Secondary School,Brampton,-79.7183973,43.6751901,Turner Fenton Secondary SchoolBrampton
Clark Boulevard Public School,Brampton,-79.7183958,43.714901,Clark Boulevard Public SchoolBrampton
St. Aloysius Gonzaga Secondary School,Mississauga,-79.7181446,43.5564811,St. Aloysius Gonzaga Secondary SchoolMississauga
St Aloysius Gonzaga Secondary School,Mississauga,-79.7181446,43.5564811,St Aloysius Gonzaga Secondary SchoolMississauga
St Veronica Elementary School,Mississauga,-79.717429,43.6314467,St Veronica Elementary SchoolMississauga
Grenoble Public School,Brampton,-79.7172608,43.7383505,Grenoble Public SchoolBrampton
St. Matthew Catholic Elementary School,Oakville,-79.7166895,43.4401543,St. Matthew Catholic Elementary SchoolOakville
John Fraser Secondary School,Mississauga,-79.7165493,43.5601414,John Fraser Secondary SchoolMississauga
Holy Name of Mary Catholic Secondary School,Brampton,-79.7164801,43.7337791,Holy Name of Mary Catholic Secondary SchoolBrampton
Ferndale Woods Elementary School,Barrie,-79.7164251,44.3583158,Ferndale Woods Elementary SchoolBarrie
École élémentaire Le Flambeau,Mississauga,-79.7157493,43.6325163,École élémentaire Le FlambeauMississauga
ÉIC Nouvelle-Alliance,Barrie,-79.7156373,44.3961093,ÉIC Nouvelle-AllianceBarrie
Greenbriar Senior Public School,Brampton,-79.7156369,43.7362776,Greenbriar Senior Public SchoolBrampton
Board Site,Barrie,-79.7155357,44.4164652,Board SiteBarrie
Portage View Public School,Barrie,-79.715385,44.392613,Portage View Public SchoolBarrie
St. Clare of Assisi Catholic Elementary School,Hamilton,-79.7153604,43.2142904,St. Clare of Assisi Catholic Elementary SchoolHamilton
Gladys Speers Public School,Oakville,-79.7151316,43.4100663,Gladys Speers Public SchoolOakville
École secondaire Roméo Dallaire,Barrie,-79.7143086,44.3270265,École secondaire Roméo DallaireBarrie
Post's Cornders Public School,Oakville,-79.7142976,43.4761413,Post's Cornders Public SchoolOakville
St John the Baptist Elementary School,Caledon,-79.7130227,43.871034,St John the Baptist Elementary SchoolCaledon
Loyola Catholic Secondary School,Mississauga,-79.7129492,43.5266531,Loyola Catholic Secondary SchoolMississauga
Balmoral Drive Senior Public School,Brampton,-79.7125002,43.7087407,Balmoral Drive Senior Public SchoolBrampton
Sunningdale Public School,Oakville,-79.7120733,43.4587176,Sunningdale Public SchoolOakville
Orchard Park Secondary School,Hamilton,-79.711475,43.2182862,Orchard Park Secondary SchoolHamilton
Georges Vanier Catholic School,Brampton,-79.71137,43.727564,Georges Vanier Catholic SchoolBrampton
Abbey Lane Public School,Oakville,-79.7112869,43.445623,Abbey Lane Public SchoolOakville
Our Lady of Good Voyage Elementary School,Mississauga,-79.7111505,43.5917103,Our Lady of Good Voyage Elementary SchoolMississauga
St. John Fisher Elementary School,Brampton,-79.7111091,43.7112363,St. John Fisher Elementary SchoolBrampton
St. John Fisher Separate School,Brampton,-79.7111091,43.7112363,St. John Fisher Separate SchoolBrampton
St John Fisher Separate School,Brampton,-79.7111091,43.7112363,St John Fisher Separate SchoolBrampton
St. Thomas Aquinas Secondary School,Brampton,-79.710826,43.738924,St. Thomas Aquinas Secondary SchoolBrampton
St Thomas Aquinas Secondary School,Brampton,-79.710826,43.738924,St Thomas Aquinas Secondary SchoolBrampton
All Saints Catholic School,Mississauga,-79.7105173,43.5315431,All Saints Catholic SchoolMississauga
St. Marcellinus Secondary School,Mississauga,-79.7101146,43.6237335,St. Marcellinus Secondary SchoolMississauga
St Marcellinus Secondary School,Mississauga,-79.7101146,43.6237335,St Marcellinus Secondary SchoolMississauga
Eastview Public School,Oakville,-79.7101056,43.4012587,Eastview Public SchoolOakville
Willow Way Public School,Mississauga,-79.7100832,43.5880797,Willow Way Public SchoolMississauga
Our Lady of Peace Catholic Elementary School,Hamilton,-79.7100134,43.2212157,Our Lady of Peace Catholic Elementary SchoolHamilton
Hazel McCallion Senior Public School,Mississauga,-79.7090808,43.5891109,Hazel McCallion Senior Public SchoolMississauga
St. Oscar Romero Catholic Secondary School,Mississauga,-79.7090405,43.5511142,St. Oscar Romero Catholic Secondary SchoolMississauga
