school,municipality,lon,lat,unique_id
St Mary's College Separate School,Sault Ste. Marie,-84.3074893,46.5389711,St Mary's College Separate SchoolSault Ste. Marie
St Mary's French Immersion Catholic School,Sault Ste. Marie,-84.266479,46.5225021,St Mary's French Immersion Catholic SchoolSault Ste. Marie
Parkland Public School,Sault Ste. Marie,-84.258044,46.514954,Parkland Public SchoolSault Ste. Marie
Central Algoma Secondary School,Johnson,-83.9355055,46.3385985,Central Algoma Secondary SchoolJohnson
École secondaire catholique de Hearst,Hearst,-83.6682121,49.6878729,École secondaire catholique de HearstHearst
Ã‰cole secondaire catholique de Hearst,Hearst,-83.6682121,49.6878729,Ã‰cole secondaire catholique de HearstHearst
École élémentaire publique Passeport Jeunesse,Hearst,-83.6650632,49.6835099,École élémentaire publique Passeport JeunesseHearst
Ã‰cole Ã©lÃ©mentaire publique Passeport Jeunesse,Hearst,-83.6650632,49.6835099,Ã‰cole Ã©lÃ©mentaire publique Passeport JeunesseHearst
General Amherst High School,Amherstburg,-83.1109446,42.1063488,General Amherst High SchoolAmherstburg
Stella Maris Catholic Elementary School,Amherstburg,-83.106554,42.115545,Stella Maris Catholic Elementary SchoolAmherstburg
Stella Maris Catholic School,Amherstburg,-83.106554,42.115545,Stella Maris Catholic SchoolAmherstburg
Sacred Heart Catholic Elementary School,Lasalle,-83.0985296,42.2331199,Sacred Heart Catholic Elementary SchoolLasalle
LaSalle Public School,Lasalle,-83.0884997,42.2284991,LaSalle Public SchoolLasalle
General Brock Public School,Windsor,-83.0780901,42.2997399,General Brock Public SchoolWindsor
École élémentaire catholique Monseigneur Augustin Caron,Lasalle,-83.0758659,42.206855,École élémentaire catholique Monseigneur Augustin CaronLasalle
St Joseph Catholic School,Amherstburg,-83.068954,42.185908,St Joseph Catholic SchoolAmherstburg
John McGivney Children's Centre School,Windsor,-83.0678487,42.2829299,John McGivney Children's Centre SchoolWindsor
Marlborough Public School,Windsor,-83.0646926,42.2897379,Marlborough Public SchoolWindsor
